period,date,Aka,Ako,Hen,Hot,Kil,Kit,Koh,Kor,Kun,Mal,Mei,Mik,Ntr,Ten,Tot
3,2021/11/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/11/18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/11/19,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/20,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1
3,2021/11/21,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021/11/24,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/25,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/26,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/27,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/28,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/29,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/11/30,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/12/1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/12/2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/12/3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/12/4,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/12/5,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/12/6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/12/7,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3,2021/12/8,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3,2021/12/9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/12/10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/12/11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/12/12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/12/13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/12/14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/12/15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/12/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2021/12/17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
